Site,Time Point,Calcifiers Cover
Caracol,T9,2
Caracol,T9,8
Caracol,T9,28
Cayo Roldan,T9,28
Cayo Roldan,T9,18
Cayo Roldan,T9,4
Cayo Roldan,T9,14
Cayo Roldan,T9,16
Cayo Roldan,T9,30
Cayo Roldan,T9,14
Cayo Roldan,T9,2
Cayo Roldan,T9,2
Cayo Roldan,T9,4
Cayo Roldan,T9,10
Coral Cay,T9,28
Coral Cay,T9,32
Coral Cay,T9,54
Coral Cay,T9,20
Coral Cay,T9,34
Coral Cay,T9,22
Coral Cay,T9,44
Coral Cay,T9,48
Coral Cay,T9,32
Coral Cay,T9,64
Coral Cay,T9,28
Coral Cay,T9,36
Hospital Point,T9,18
Hospital Point,T9,16
Hospital Point,T9,38
Hospital Point,T9,6
Hospital Point,T9,20
Hospital Point,T9,20
Hospital Point,T9,6
Hospital Point,T9,12
Hospital Point,T9,22
Hospital Point,T9,14
Hospital Point,T9,30
Mainland,T9,14
Mainland,T9,10
Mainland,T9,10
Mainland,T9,22
Mainland,T9,6
Mainland,T9,10
Mainland,T9,6
Mainland,T9,4
Mainland,T9,2
Mainland,T9,0
Mainland,T9,4
Pastores,T9,4
Pastores,T9,6
Pastores,T9,10
Pastores,T9,6
Pastores,T9,2
Pastores,T9,0
Pastores,T9,4
Pastores,T9,0
Pastores,T9,4
Pastores,T9,2
Pastores,T9,0
Popa,T9,46
Popa,T9,46
Popa,T9,62
Popa,T9,50
Popa,T9,60
Popa,T9,54
Popa,T9,32
Popa,T9,42
Popa,T9,38
Popa,T9,40
Punta Juan,T9,16
Punta Juan,T9,18
Punta Juan,T9,22
Punta Juan,T9,40
Punta Juan,T9,24
Punta Juan,T9,18
Punta Juan,T9,12
Punta Juan,T9,48
Punta Juan,T9,66
Punta Juan,T9,64
Punta Juan,T9,60
Punta Juan,T9,52
Punta Juan,T9,72
Salt Creek,T9,34
Salt Creek,T9,32
Salt Creek,T9,12
Salt Creek,T9,50
Salt Creek,T9,12
Salt Creek,T9,16
Salt Creek,T9,60
Salt Creek,T9,14
Salt Creek,T9,40
Salt Creek,T9,2
Salt Creek,T9,44
STRI,T9,2
STRI,T9,12
STRI,T9,6
STRI,T9,0
STRI,T9,2
STRI,T9,4
STRI,T9,0
STRI,T9,0
STRI,T9,4
STRI,T9,0
