Site,Time Point,Porites Cover
Pastores,T8,16
Pastores,T8,0
Pastores,T8,2
Pastores,T8,0
Pastores,T8,0
Pastores,T8,2
Pastores,T8,0
Punta Juan,T8,0
Punta Juan,T8,0
Punta Juan,T8,0
Punta Juan,T8,2
Punta Juan,T8,0
Punta Juan,T8,2
Punta Juan,T8,0
Punta Juan,T8,10
Punta Juan,T8,58
Salt Creek,T8,36
Salt Creek,T8,14
Salt Creek,T8,0
Salt Creek,T8,2
Salt Creek,T8,0
Salt Creek,T8,4
Salt Creek,T8,2
Salt Creek,T8,2
Salt Creek,T8,16
Salt Creek,T8,0
Salt Creek,T8,8
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
STRI,T8,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,6
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,2
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Caracol,T9,0
Cayo Roldan,T9,24
Cayo Roldan,T9,0
Cayo Roldan,T9,2
Cayo Roldan,T9,2
Cayo Roldan,T9,12
Cayo Roldan,T9,28
Cayo Roldan,T9,10
Cayo Roldan,T9,2
Cayo Roldan,T9,2
Cayo Roldan,T9,2
Cayo Roldan,T9,4
Coral Cay,T9,4
Coral Cay,T9,2
Coral Cay,T9,4
Coral Cay,T9,6
Coral Cay,T9,2
Coral Cay,T9,0
Coral Cay,T9,8
Coral Cay,T9,10
Coral Cay,T9,4
Coral Cay,T9,2
Coral Cay,T9,0
Coral Cay,T9,0
Hospital Point,T9,8
Hospital Point,T9,0
Hospital Point,T9,16
Hospital Point,T9,0
Hospital Point,T9,8
Hospital Point,T9,2
Hospital Point,T9,0
Hospital Point,T9,4
Hospital Point,T9,2
Hospital Point,T9,2
Hospital Point,T9,0
Mainland,T9,6
Mainland,T9,10
Mainland,T9,6
Mainland,T9,18
Mainland,T9,6
Mainland,T9,4
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Pastores,T9,4
Pastores,T9,4
Pastores,T9,10
Pastores,T9,4
Pastores,T9,2
Pastores,T9,0
Pastores,T9,2
Pastores,T9,0
Pastores,T9,2
Pastores,T9,0
Pastores,T9,0
Popa,T9,0
Popa,T9,2
Popa,T9,0
Popa,T9,0
Popa,T9,2
Popa,T9,2
Popa,T9,0
Popa,T9,4
Popa,T9,0
Popa,T9,0
Punta Juan,T9,2
Punta Juan,T9,4
Punta Juan,T9,0
Punta Juan,T9,4
Punta Juan,T9,6
Punta Juan,T9,4
Punta Juan,T9,0
Punta Juan,T9,4
Punta Juan,T9,0
Punta Juan,T9,6
Punta Juan,T9,8
Punta Juan,T9,18
Punta Juan,T9,62
Salt Creek,T9,8
Salt Creek,T9,2
Salt Creek,T9,4
Salt Creek,T9,6
Salt Creek,T9,0
Salt Creek,T9,4
Salt Creek,T9,0
Salt Creek,T9,0
Salt Creek,T9,2
Salt Creek,T9,0
Salt Creek,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
