Site,Time Point,Reef Builder Cover
Punta Juan,T7,17
Punta Juan,T7,17
Punta Juan,T7,35
Punta Juan,T7,4
Punta Juan,T7,3
Punta Juan,T7,5
Punta Juan,T7,4
Punta Juan,T7,2
Punta Juan,T7,6
Punta Juan,T7,42
Salt Creek,T7,37
Salt Creek,T7,49
Salt Creek,T7,38
Salt Creek,T7,45
Salt Creek,T7,39
Salt Creek,T7,57
Salt Creek,T7,61
Salt Creek,T7,60
Salt Creek,T7,80
Salt Creek,T7,80
Salt Creek,T7,54
STRI,T7,51
STRI,T7,23
STRI,T7,38
STRI,T7,32
STRI,T7,22
STRI,T7,57
STRI,T7,10
STRI,T7,55
STRI,T7,1
STRI,T7,48
Almirante,T8,38
Almirante,T8,12
Almirante,T8,52
Almirante,T8,12
Almirante,T8,20
Almirante,T8,46
Almirante,T8,14
Almirante,T8,6
Almirante,T8,26
Almirante,T8,10
Almirante,T8,10
Almirante,T8,28
Almirante,T8,32
Almirante,T8,42
Almirante,T8,50
Almirante,T8,42
Almirante,T8,50
Almirante,T8,32
Almirante,T8,28
Almirante,T8,20
Caracol,T8,0
Caracol,T8,2
Caracol,T8,0
Caracol,T8,34
Caracol,T8,18
Caracol,T8,2
Caracol,T8,4
Caracol,T8,0
Caracol,T8,8
Caracol,T8,12
Caracol,T8,24
Cayo Roldan,T8,38
Cayo Roldan,T8,16
Cayo Roldan,T8,12
Cayo Roldan,T8,28
Cayo Roldan,T8,18
Cayo Roldan,T8,54
Cayo Roldan,T8,40
Cayo Roldan,T8,2
Cayo Roldan,T8,20
Cayo Roldan,T8,20
Cayo Roldan,T8,22
Coral Cay,T8,16
Coral Cay,T8,20
Coral Cay,T8,20
Coral Cay,T8,14
Coral Cay,T8,18
Coral Cay,T8,40
Coral Cay,T8,40
Coral Cay,T8,18
Coral Cay,T8,54
Coral Cay,T8,66
Coral Cay,T8,70
Hospital Point,T8,16
Hospital Point,T8,26
Hospital Point,T8,28
Hospital Point,T8,8
Hospital Point,T8,18
Hospital Point,T8,10
Hospital Point,T8,12
Hospital Point,T8,36
Hospital Point,T8,12
Hospital Point,T8,42
Hospital Point,T8,48
Mainland,T8,8
Mainland,T8,32
Mainland,T8,10
Mainland,T8,36
Mainland,T8,26
Mainland,T8,26
Mainland,T8,2
Mainland,T8,0
Mainland,T8,0
Mainland,T8,0
Mainland,T8,38
Pastores,T8,2
Pastores,T8,6
Pastores,T8,14
Pastores,T8,16
Pastores,T8,16
Pastores,T8,0
Pastores,T8,2
Pastores,T8,0
Pastores,T8,0
Pastores,T8,2
Pastores,T8,0
Punta Juan,T8,38
Punta Juan,T8,18
Punta Juan,T8,14
Punta Juan,T8,8
Punta Juan,T8,26
Punta Juan,T8,30
Punta Juan,T8,26
Punta Juan,T8,76
Punta Juan,T8,68
Salt Creek,T8,42
Salt Creek,T8,38
Salt Creek,T8,8
Salt Creek,T8,44
Salt Creek,T8,6
Salt Creek,T8,16
Salt Creek,T8,42
Salt Creek,T8,14
Salt Creek,T8,64
Salt Creek,T8,6
Salt Creek,T8,32
STRI,T8,12
STRI,T8,22
STRI,T8,0
STRI,T8,22
STRI,T8,10
STRI,T8,4
STRI,T8,8
STRI,T8,12
STRI,T8,16
STRI,T8,4
Almirante,T9,0
Almirante,T9,0
Almirante,T9,2
Almirante,T9,0
Almirante,T9,2
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,0
Almirante,T9,2
Almirante,T9,0
Almirante,T9,0
Almirante,T9,6
Caracol,T9,0
Caracol,T9,0
Caracol,T9,16
Caracol,T9,30
Caracol,T9,28
Caracol,T9,10
Caracol,T9,12
Caracol,T9,0
Caracol,T9,2
Caracol,T9,4
Caracol,T9,26
Cayo Roldan,T9,26
Cayo Roldan,T9,14
Cayo Roldan,T9,2
Cayo Roldan,T9,12
Cayo Roldan,T9,14
Cayo Roldan,T9,28
Cayo Roldan,T9,10
Cayo Roldan,T9,2
Cayo Roldan,T9,2
Cayo Roldan,T9,2
Cayo Roldan,T9,10
Coral Cay,T9,12
Coral Cay,T9,8
Coral Cay,T9,40
Coral Cay,T9,10
Coral Cay,T9,20
Coral Cay,T9,14
Coral Cay,T9,24
Coral Cay,T9,42
Coral Cay,T9,30
Coral Cay,T9,50
Coral Cay,T9,18
Coral Cay,T9,18
Hospital Point,T9,12
Hospital Point,T9,10
Hospital Point,T9,24
Hospital Point,T9,4
Hospital Point,T9,18
Hospital Point,T9,8
Hospital Point,T9,6
Hospital Point,T9,6
Hospital Point,T9,8
Hospital Point,T9,10
Hospital Point,T9,30
